party,timestamp,amount,counterparty,communication
A320,2023-09-29 12:54:06,4207.96,586,/B/
A337,2023-07-04 06:10:19,8695.93,303,/C/
A389,2023-05-09 04:23:06,6417.85,614,/C/
A348,2023-11-28 04:54:34,7297.85,779,/B/
534,2024-05-19 03:40:34,897.46,302,beers
A188,2024-02-26 03:52:20,5353.11,593,/B/
A292,2023-12-11 07:55:58,6368.13,254,/A/
A53,2022-07-24 04:35:28,3304.21,301,/A/
A159,2022-11-06 22:48:31,7723.22,A292,9323123426
A287,2022-11-02 05:45:00,4042.72,983,/A/
A359,2023-11-21 13:10:10,4078.78,A12,8726176072
316,2023-02-05 02:15:10,7493.02,575,fries
A311,2023-04-15 07:41:29,2281.88,225,/B/
A309,2023-09-12 16:19:40,6701.8,A186,3828040561
923,2023-03-23 20:26:58,9816.0,711,payback
349,2023-01-20 08:26:48,6100.46,30,payback
A76,2022-08-23 13:42:46,8046.05,415,/C/
557,2022-10-21 21:49:25,7631.29,692,beers
A137,2024-03-26 20:03:27,4342.02,95,/C/
A194,2024-02-01 08:29:00,3824.96,A177,6130876123
A161,2022-09-15 13:41:10,8072.52,585,/B/
A385,2023-06-24 03:41:07,9804.76,123,/B/
A398,2023-01-15 05:51:20,8433.24,273,/B/
A124,2023-06-15 06:08:04,5415.14,601,/B/
278,2022-06-25 10:39:29,8497.79,641,rent
A85,2023-07-05 05:23:03,8546.51,489,/A/
A342,2024-02-16 09:00:20,10.78,872,/C/
A201,2024-01-11 22:15:11,4343.05,929,/B/
56,2023-04-09 10:03:50,626.99,119,savings
A39,2023-06-27 20:28:25,5039.49,83,/C/
626,2023-12-22 14:06:58,1934.14,342,rent
67,2023-06-17 03:30:16,480.11,384,payback
A332,2023-10-20 13:40:54,560.81,A143,1491507628
A299,2023-03-12 19:37:31,1959.8,972,/B/
642,2024-02-22 02:24:03,6421.09,147,rent
225,2022-07-05 13:48:01,7300.03,652,bonus
917,2022-08-31 15:58:33,2701.94,507,savings
A145,2024-02-24 22:42:53,4427.51,400,/A/
965,2024-04-28 21:03:20,582.76,459,beers
781,2022-10-26 01:01:30,7260.49,883,savings
A306,2023-03-04 18:54:10,6714.26,140,/B/
A48,2023-05-02 02:32:46,195.61,763,/B/
A243,2023-11-24 07:52:41,7250.16,944,/B/
A83,2022-10-25 05:12:45,9230.98,578,/C/
68,2023-10-06 10:32:29,9324.92,787,bonus
A269,2023-10-13 01:19:51,228.33,A346,8413337312
A161,2022-07-12 00:28:30,9541.98,A184,2356178170
A85,2024-04-09 14:24:17,2049.97,A348,1192061363
A343,2022-07-14 20:35:58,8251.85,A163,2778956133
A342,2023-12-01 05:16:55,4475.45,A280,4449029502
A151,2024-04-10 12:43:02,8641.36,522,/A/
96,2022-08-17 19:22:01,9730.81,441,bonus
A28,2024-01-05 14:38:06,2848.32,242,/B/
A129,2023-07-06 08:39:24,2049.7,851,/A/
A274,2022-10-16 14:12:46,3984.2,110,/A/
A380,2023-02-04 12:08:03,9050.52,809,/B/
174,2022-12-11 23:10:29,6673.1,937,beers
A83,2023-12-18 18:56:44,752.71,654,/A/
A302,2024-01-16 13:37:51,8781.94,A275,2134862985
A252,2022-08-29 22:03:55,7345.75,803,/C/
A225,2023-04-30 21:33:24,6868.11,239,/B/
A119,2024-05-12 02:50:22,8665.97,895,/C/
A59,2024-02-29 20:00:04,2431.05,868,/C/
A349,2023-11-17 04:50:47,1772.99,A164,6053970798
A220,2022-12-01 19:31:12,7192.11,412,/C/
A61,2023-01-27 06:43:33,9271.13,A233,7067368205
A193,2022-07-15 05:12:25,7645.6,553,/A/
A88,2022-08-08 02:48:50,844.44,184,/A/
335,2023-09-08 22:43:31,6292.12,690,beers
A202,2022-11-20 20:08:12,862.81,695,/C/
A398,2024-05-10 12:47:02,3661.04,343,/C/
A54,2023-12-08 20:47:19,9888.74,703,/B/
A77,2023-04-15 05:43:53,4049.94,750,/A/
A395,2023-10-31 18:13:22,5228.85,A90,1925967908
791,2023-08-24 10:10:57,5906.74,698,bonus
A320,2023-10-01 07:22:55,2352.96,A312,8480220509
A118,2024-06-10 16:45:51,6918.24,678,/C/
A369,2024-01-24 10:10:40,4332.08,612,/C/
519,2023-02-16 02:52:39,6914.37,992,bonus
A153,2023-06-20 15:37:42,6484.06,903,/C/
A377,2023-10-28 20:41:41,3377.87,624,/C/
67,2022-11-28 14:47:30,5535.86,662,rent
A232,2022-12-13 05:46:03,2836.38,641,/C/
A385,2023-10-21 07:18:40,5075.84,A19,7152386767
787,2023-08-05 01:17:31,1960.69,995,fries
A316,2023-02-15 09:34:02,1868.42,A232,4619177987
A77,2023-09-17 14:07:15,3845.36,877,/C/
A224,2023-04-21 10:10:37,5746.35,517,/B/
A79,2022-12-11 01:34:10,7185.68,857,/A/
590,2022-09-25 02:28:13,3201.84,200,savings
39,2022-09-25 04:18:35,9941.92,809,fries
697,2024-04-03 17:49:01,5321.87,536,rent
190,2023-12-18 19:44:35,3986.54,698,fries
A189,2023-03-04 04:14:23,7924.26,53,/C/
A16,2023-12-03 16:37:06,2694.0,A340,5669579001
A278,2023-01-11 09:20:32,1680.03,A91,5544286796
A181,2023-04-24 02:06:21,1961.88,846,/C/
653,2023-06-06 13:55:17,2942.34,252,fries
A350,2023-10-17 21:27:59,9516.45,545,/C/
A138,2022-07-09 00:50:07,5760.96,808,/B/
227,2024-02-22 20:36:00,8303.25,887,beers
A294,2024-01-07 02:09:47,5462.27,956,/A/
A85,2023-10-23 13:40:54,3402.52,266,/A/
A168,2023-04-05 23:38:26,6845.01,191,/C/
A370,2022-07-05 14:56:15,7615.22,954,/B/
A176,2024-05-16 07:18:13,1779.81,A200,2926933589
A190,2024-01-17 02:43:10,7817.04,A53,3818655078
A198,2024-01-24 07:35:52,2629.23,972,/C/
A313,2022-12-16 06:26:09,3244.44,A165,7443034918
A39,2023-11-30 10:30:27,8243.46,A58,7972038593
A20,2024-06-18 20:22:48,2692.07,88,/B/
A158,2023-11-28 20:46:31,2102.65,90,/B/
A56,2023-05-02 23:02:23,2937.21,334,/B/
A111,2022-09-29 06:47:48,2023.77,A374,2593678136
A163,2023-12-03 00:07:29,4473.82,A24,0942141052
630,2024-01-29 08:23:47,4566.87,541,rent
A269,2024-02-06 05:21:27,6961.09,484,/C/
A376,2023-08-19 23:49:42,602.36,854,/A/
A4,2024-02-03 01:11:53,7577.89,278,/B/
864,2024-01-29 04:04:47,1298.63,526,payback
A393,2023-01-18 01:17:34,5578.49,A179,6225866059
A387,2022-07-24 12:35:22,5064.89,460,/C/
A153,2024-02-20 20:36:57,4422.57,A86,2758548596
A163,2024-01-05 09:53:37,9645.39,A365,9428249116
A14,2023-05-04 14:18:52,9853.88,139,/A/
A22,2022-09-18 22:55:04,8825.02,159,/B/
A118,2024-05-04 03:07:21,3725.66,600,/C/
74,2022-09-18 11:02:54,8784.2,981,beers
A60,2023-05-24 23:29:00,1312.15,818,/B/
70,2022-10-02 03:56:09,8684.98,213,rent
A247,2023-03-05 18:17:33,3240.44,34,/C/
648,2023-11-30 17:14:20,2041.71,435,payback
698,2023-01-15 12:07:24,7381.81,102,bonus
871,2022-12-18 05:47:01,3033.32,532,payback
395,2022-10-10 15:32:24,6169.47,600,payback
A252,2023-07-25 06:33:54,9951.01,147,/B/
A354,2023-09-12 13:16:00,9630.99,959,/A/
A327,2023-01-06 11:20:15,4231.3,807,/B/
299,2023-07-15 16:08:28,7193.89,658,savings
6,2024-05-21 22:28:22,1497.9,132,bonus
756,2024-01-16 06:56:23,8459.79,720,beers
294,2023-08-15 14:57:51,9192.49,214,rent
A89,2024-06-04 04:41:00,5258.75,A363,8123123920
639,2022-09-17 23:51:30,6269.49,94,rent
A5,2024-04-20 14:41:49,3772.19,906,/A/
425,2024-01-04 04:06:28,5196.39,268,savings
734,2024-05-01 08:45:17,1602.35,566,savings
A273,2024-02-07 01:03:45,3450.73,169,/B/
A362,2024-01-24 03:26:23,4040.85,89,/C/
805,2023-05-10 21:04:36,4560.82,185,bonus
328,2023-09-05 08:44:22,4801.32,266,fries
A288,2023-08-03 22:00:05,9732.99,642,/B/
388,2024-05-25 17:19:02,4838.85,158,payback
333,2024-02-16 12:10:38,9421.44,145,payback
A398,2022-06-28 07:33:51,903.25,A343,7683160827
A331,2022-11-12 18:17:03,9603.55,480,/A/
A352,2024-06-13 06:15:26,634.16,220,/A/
A368,2024-05-12 21:33:50,4429.54,745,/A/
A336,2022-07-13 00:20:23,9258.02,596,/A/
A15,2023-08-05 06:35:00,9566.95,333,/A/
A296,2023-01-02 16:41:45,1726.27,978,/C/
A110,2023-03-16 11:19:37,9096.51,758,/B/
978,2022-09-10 21:09:15,8815.71,103,fries
A168,2024-05-21 18:18:57,4271.57,673,/C/
A156,2023-11-27 11:36:01,754.55,241,/C/
A122,2023-09-26 11:11:27,5507.04,A86,5539835844
A251,2023-01-27 14:31:03,4179.34,742,/C/
A381,2022-09-12 00:13:41,4630.81,903,/B/
827,2023-04-18 05:38:43,2189.44,402,bonus
A11,2023-02-08 17:56:05,2472.11,584,/B/
259,2023-11-23 05:39:21,2611.12,591,savings
A372,2024-02-09 20:13:27,6112.52,119,/A/
618,2023-06-08 03:18:41,8932.83,844,payback
A96,2023-05-19 00:13:20,4388.52,584,/A/
165,2024-06-04 09:56:38,4401.98,56,bonus
A306,2024-01-27 18:14:43,2465.65,479,/C/
A369,2023-07-05 10:50:16,9106.72,A58,3752988322
691,2024-01-28 00:32:48,281.76,770,rent
A187,2023-02-16 06:52:48,1348.03,406,/C/
A28,2023-06-13 17:30:12,7906.07,561,/A/
904,2024-05-05 09:47:49,1733.49,45,bonus
A251,2023-01-10 11:08:55,7610.21,A311,7888975358
242,2023-04-30 15:23:31,3574.29,652,payback
A32,2023-09-26 01:45:30,3944.06,817,/A/
A143,2022-10-26 03:39:45,2020.75,309,/A/
A331,2024-02-13 00:38:32,9225.52,83,/C/
A294,2022-12-21 17:19:18,8552.0,328,/A/
A178,2023-02-18 17:01:12,4602.69,855,/A/
892,2023-10-27 22:39:22,9540.99,745,payback
A48,2023-01-26 14:57:49,8985.5,23,/A/
A86,2023-08-17 02:12:39,6429.47,797,/C/
A384,2022-08-30 16:13:32,9418.33,A179,0143748309
A3,2023-05-03 02:01:24,8232.67,A296,6713971912
A325,2024-05-19 03:17:19,3978.8,A78,2132176720
A395,2022-07-02 06:56:16,1152.54,763,/C/
A58,2024-05-07 13:30:27,893.28,391,/B/
A93,2024-02-04 05:55:36,1045.95,A22,1907258733
A383,2022-10-11 14:29:55,9254.9,747,/A/
585,2022-06-29 01:30:16,371.19,197,savings
A107,2022-10-10 17:43:50,3803.46,A275,0274812421
A12,2022-07-21 08:22:33,901.91,A286,6825095229
A66,2023-08-24 03:50:53,2867.84,17,/C/
867,2024-05-14 04:08:16,1937.35,375,bonus
A34,2023-08-11 19:26:42,7216.02,829,/C/
A1,2022-07-30 05:30:21,7360.1,A110,9952970137
A142,2023-09-01 09:41:57,1187.38,A98,6585856423
265,2022-10-13 09:12:18,8463.57,964,rent
797,2023-12-23 13:56:05,8881.13,159,rent
A247,2022-11-17 10:53:15,1409.32,A28,6159273874
A307,2022-08-31 05:25:16,604.03,634,/A/
A370,2022-12-25 04:00:28,4431.7,987,/A/
A303,2023-08-02 10:03:11,4312.79,A12,6322481554
162,2023-12-05 23:23:41,9529.19,847,fries
A4,2022-11-02 18:21:44,6317.72,227,/C/
292,2023-10-15 20:40:43,7103.61,33,beers
A9,2023-02-09 09:02:51,587.42,630,/B/
A208,2023-01-29 21:27:12,9079.9,A255,9756491579
A179,2022-07-08 10:28:03,6771.01,380,/B/
A89,2023-01-12 07:26:46,4252.28,A127,4712476010
A394,2024-01-05 20:07:53,5549.86,121,/C/
A107,2023-04-18 03:09:31,1227.25,27,/C/
567,2022-11-14 05:15:09,7925.51,235,rent
A142,2024-04-15 02:14:23,4493.81,781,/A/
A217,2023-10-22 06:43:30,4890.35,528,/A/
529,2022-11-19 12:20:05,5444.18,99,fries
A230,2022-06-29 10:23:01,6702.27,109,/A/
A369,2022-10-08 02:58:32,5927.88,110,/B/
A238,2023-05-31 20:16:22,7043.33,86,/A/
A210,2023-10-08 00:02:31,5084.12,463,/A/
A237,2023-04-13 00:09:48,2465.78,729,/A/
992,2022-07-14 22:16:39,3322.06,48,bonus
543,2022-06-24 19:28:39,3611.85,976,bonus
A103,2023-12-23 07:47:32,4920.84,820,/B/
A361,2024-04-27 22:46:40,1750.63,201,/A/
445,2024-02-26 19:09:43,175.28,186,bonus
A271,2022-10-06 08:19:22,5317.39,A347,5766947031
A171,2023-11-04 10:36:45,5613.02,A102,3962746662
A300,2023-03-19 10:46:50,790.26,65,/C/
141,2023-04-28 10:47:44,2406.24,716,savings
A30,2024-03-25 00:18:13,190.79,A137,6661459011
A302,2023-11-24 03:46:49,506.72,497,/C/
A130,2022-10-07 13:08:44,4674.12,A20,0493881949
A128,2024-01-21 11:19:47,31.27,A342,1520499809
A307,2022-09-26 03:09:32,2976.99,A255,6987313797
A213,2022-08-20 02:18:41,6851.87,391,/C/
299,2023-01-18 14:26:18,5565.86,104,savings
A51,2023-02-10 22:07:13,9080.85,152,/A/
A26,2023-09-16 12:10:00,4850.07,496,/B/
A128,2024-06-13 07:14:13,5710.61,238,/A/
447,2023-06-30 01:11:17,7622.19,187,beers
990,2023-09-19 16:25:43,7369.94,527,fries
A149,2023-04-14 21:47:03,5910.16,A299,9197014262
A240,2022-12-20 05:54:00,264.04,52,/C/
A277,2023-07-20 04:31:48,4607.96,A88,1160204181
A351,2023-05-01 15:52:55,2352.87,A360,9989897211
A12,2024-04-15 06:38:48,9760.14,748,/C/
A301,2023-02-04 06:42:13,5036.99,987,/B/
A261,2023-03-16 00:56:20,9278.11,A16,1864482217
A183,2022-08-13 00:03:14,9468.08,534,/C/
A120,2023-03-07 09:20:58,7374.72,584,/B/
382,2023-10-09 20:59:48,9725.22,448,rent
A32,2023-12-23 22:14:47,5391.46,831,/A/
A24,2022-10-25 01:48:28,2595.75,428,/B/
A342,2023-11-06 02:11:24,3202.66,95,/A/
389,2022-09-17 03:19:38,8421.35,576,rent
A207,2022-08-01 20:42:05,2996.26,93,/C/
956,2023-04-22 20:57:07,6680.17,161,payback
690,2022-08-17 14:38:12,8910.01,836,payback
A85,2023-01-18 03:47:51,2704.89,614,/C/
A259,2023-02-27 18:43:04,4235.32,A78,7697040953
A133,2024-05-01 13:38:30,7134.11,926,/A/
433,2022-08-28 04:46:06,7901.38,115,bonus
506,2024-04-08 17:42:55,4272.07,921,payback
A91,2023-02-16 20:09:25,6423.63,499,/B/
A354,2022-09-05 08:02:27,6742.25,566,/C/
A371,2022-07-12 22:16:02,2242.08,A194,5179624096
A145,2023-05-25 18:44:42,7020.41,855,/C/
A280,2024-01-04 10:13:33,3763.77,A128,4960478421
A79,2022-09-28 16:57:46,4440.02,574,/B/
A73,2023-04-24 18:01:44,1022.99,163,/B/
A125,2022-06-26 10:21:18,5800.39,845,/C/
A278,2024-05-17 22:02:12,4066.9,A280,2089348688
A22,2023-03-20 00:32:31,2280.29,901,/B/
A133,2024-02-06 02:59:26,1375.46,404,/B/
A386,2023-01-06 20:52:52,1514.24,539,/B/
69,2023-01-18 19:21:11,6019.82,435,rent
A33,2023-10-10 17:13:35,6232.77,91,/B/
849,2023-02-24 21:56:36,739.46,115,payback
A372,2022-11-03 06:30:39,8960.7,254,/B/
A308,2024-03-06 22:44:52,6612.15,655,/A/
A105,2022-08-21 17:05:13,9985.79,731,/B/
A110,2023-04-25 05:47:55,1080.5,A244,6052304588
A171,2023-11-08 01:41:08,944.86,A400,0254472419
A163,2022-08-26 09:24:25,974.52,A333,0344096617
495,2023-05-17 01:20:09,7556.3,918,fries
528,2023-07-29 07:29:06,654.27,129,fries
A276,2023-01-12 05:09:44,2587.66,586,/C/
A280,2023-11-20 03:21:31,6305.24,554,/C/
A206,2023-08-11 00:13:24,29.51,472,/C/
278,2022-09-24 00:54:41,1455.46,81,savings
A265,2023-12-04 05:42:58,2709.43,868,/A/
859,2022-08-10 01:49:17,7872.98,334,payback
A202,2024-05-23 11:14:05,1847.89,A321,6486989396
562,2023-05-01 00:50:25,6965.1,450,bonus
A196,2023-08-19 05:46:59,9303.17,580,/B/
887,2024-05-14 04:30:45,6887.2,92,bonus
A134,2024-05-15 14:03:35,3403.51,321,/C/
A64,2023-07-17 17:38:25,493.96,628,/A/
A348,2023-03-11 22:54:28,7224.09,A93,0753605117
A350,2023-12-20 08:21:40,786.98,A373,0398863653
A364,2023-12-04 22:21:43,4108.49,663,/A/
A297,2023-04-30 17:52:49,1000.98,A134,5590670009
A294,2023-06-24 02:13:55,6560.98,A155,2489420466
A141,2024-06-13 09:50:06,6824.4,A380,8966760564
A160,2023-07-28 08:53:40,1619.13,A162,6577580974
987,2022-07-13 07:01:26,7680.29,226,beers
A312,2023-08-22 11:53:52,7812.81,29,/B/
877,2022-07-10 03:13:16,1309.43,801,bonus
414,2024-05-25 04:29:50,2581.63,896,savings
A325,2024-01-12 08:32:21,7833.01,A95,6540165995
A28,2024-02-11 03:30:31,2289.79,9,/C/
A218,2023-10-06 03:45:31,9319.22,164,/A/
A78,2023-10-22 16:21:55,1185.02,A151,2767746259
A15,2023-08-22 01:36:05,674.26,A54,1241158488
A31,2023-10-11 12:54:09,6394.54,A4,8017986778
895,2023-05-10 21:13:48,1279.39,81,beers
903,2023-08-25 16:41:08,5778.82,964,bonus
A7,2024-02-19 11:25:29,4441.44,953,/B/
735,2024-06-07 16:20:16,4461.71,418,bonus
653,2022-09-16 07:08:26,8527.57,831,savings
A374,2023-06-22 01:07:54,762.32,113,/A/
A271,2023-10-17 09:35:16,535.66,A129,3753659680
A180,2024-04-24 15:37:26,4612.58,997,/C/
A136,2024-04-14 08:03:29,1688.87,970,/C/
A66,2023-08-13 20:40:07,1749.11,126,/C/
769,2024-06-01 13:10:22,5575.36,238,payback
259,2022-08-28 04:07:32,3243.66,370,bonus
A347,2023-12-23 22:45:27,472.44,A220,4454752311
A100,2022-06-27 16:52:32,1400.3,157,/C/
A147,2023-05-12 19:28:10,9847.27,A395,8979177633
660,2022-12-22 04:19:50,6645.32,656,fries
A251,2024-04-02 23:14:08,7422.87,A87,0388621750
A32,2023-07-06 23:30:29,6550.89,820,/A/
A199,2023-04-22 17:00:39,6067.8,985,/A/
A131,2022-07-18 18:29:41,8267.19,336,/C/
A17,2022-07-23 05:40:18,6353.78,A198,9358824935
A157,2023-04-29 11:24:50,8477.86,12,/A/
A359,2023-08-13 21:39:15,8578.53,806,/C/
A264,2023-03-17 11:35:05,7403.32,A36,6778481652
A131,2024-02-11 18:14:39,2789.26,A344,5446083851
A318,2023-08-24 06:14:22,4751.64,222,/B/
A283,2024-06-01 08:41:51,7046.06,109,/A/
A334,2023-12-07 01:18:55,6418.23,773,/C/
246,2022-12-18 00:27:45,6695.51,659,payback
A275,2023-10-30 05:48:34,1234.21,467,/C/
A131,2023-06-20 15:34:23,5125.41,A276,6999698829
A162,2022-11-06 21:54:26,610.15,A247,9271472463
A46,2024-01-21 09:45:07,365.26,882,/C/
A277,2023-06-12 03:38:26,9864.97,765,/B/
179,2023-08-24 12:31:57,7105.02,274,beers
A286,2022-08-01 20:36:09,9045.68,A333,3972833912
A331,2022-12-13 18:45:05,9757.88,A338,8706293288
A365,2024-03-16 23:58:01,9241.61,591,/C/
A86,2022-12-14 22:18:29,9241.31,A75,1010232001
A198,2023-04-24 00:08:39,6916.96,472,/B/
A24,2023-04-14 11:46:08,3794.64,931,/A/
646,2023-12-10 15:27:30,5079.72,611,fries
A347,2023-11-28 02:32:22,8678.49,492,/C/
A6,2023-03-13 09:41:53,3862.95,560,/A/
A97,2023-01-17 09:46:54,8178.48,381,/B/
A148,2023-11-17 02:00:01,7968.8,63,/C/
A284,2023-10-27 13:34:52,2353.08,A149,5319807468
199,2024-01-02 01:20:58,6415.5,322,bonus
A302,2024-01-24 12:49:30,4087.27,323,/C/
A18,2023-06-12 02:42:42,7901.26,3,/A/
A9,2023-08-01 14:43:01,7333.62,468,/B/
A2,2024-02-10 18:55:41,9160.08,378,/B/
A381,2023-11-05 07:16:37,9434.64,602,/B/
76,2022-07-25 10:49:36,4375.91,339,rent
A24,2023-02-24 07:23:26,9029.49,446,/B/
A343,2024-06-17 01:54:27,9724.47,399,/B/
75,2023-10-04 09:25:54,2687.46,13,fries
A190,2023-07-23 05:43:05,3930.48,306,/A/
A361,2022-08-26 09:05:26,7089.88,860,/A/
A1,2022-10-02 18:10:52,9867.83,827,/B/
A52,2023-01-22 15:52:54,5417.0,A205,9949708905
778,2022-06-26 20:56:07,7730.28,199,savings
207,2023-06-05 08:49:32,4197.48,301,payback
A274,2024-03-05 03:16:55,1409.13,A372,9996269708
A222,2024-01-05 01:22:01,2341.56,571,/C/
A326,2023-05-12 03:24:11,5200.87,579,/A/
A350,2022-10-08 03:41:03,4725.31,A339,7915059625
A40,2023-05-31 17:00:01,4535.89,A292,7609320126
A392,2024-04-24 03:52:12,8811.91,A184,7898260418
A390,2023-03-15 15:39:22,8547.95,966,/C/
A72,2022-11-07 12:30:38,3686.07,963,/A/
A185,2023-11-13 01:27:34,7839.87,343,/C/
980,2024-05-07 11:25:06,3144.23,120,savings
A149,2022-09-10 18:45:46,4867.09,723,/A/
A71,2023-11-03 22:21:29,6709.97,499,/B/
A95,2024-04-02 15:16:50,3851.58,A39,1882419962
A91,2023-11-10 08:17:17,4357.99,166,/A/
A245,2024-05-12 11:59:22,6031.98,342,/C/
A231,2024-06-18 12:24:21,5876.76,54,/C/
935,2023-06-23 10:59:49,8816.53,905,bonus
375,2022-10-03 18:06:24,7210.34,272,beers
A284,2022-09-26 01:25:18,1053.25,354,/C/
497,2023-05-07 08:22:05,2937.19,853,rent
A400,2024-06-16 08:55:29,3190.29,517,/A/
A296,2024-04-03 21:05:08,29.86,A73,2570900163
A176,2023-06-10 02:49:53,9253.48,A210,4072324728
A287,2023-08-29 11:29:15,1630.39,625,/B/
906,2024-04-13 02:28:37,8874.35,806,bonus
A46,2023-07-15 09:38:01,51.56,A249,8822473126
A278,2024-02-02 11:42:54,725.81,A396,5071058011
998,2022-11-25 05:52:27,5744.04,1,payback
A238,2023-05-06 17:58:20,1780.82,907,/A/
A337,2023-12-23 21:41:51,9810.57,88,/B/
A42,2024-05-03 16:04:43,1860.11,A383,0537092300
A221,2024-03-18 11:39:04,4624.29,A304,5007418948
715,2023-07-06 23:42:33,7114.05,300,beers
A73,2023-06-21 18:13:08,8107.47,A291,8769893652
A143,2022-12-13 08:10:15,5952.18,979,/B/
A212,2024-04-25 09:59:39,7660.15,A376,1982734813
A372,2023-08-23 16:02:49,9017.06,792,/A/
A171,2023-07-15 06:46:30,356.18,A24,2589632174
902,2023-12-05 08:22:49,2134.14,802,fries
A132,2023-08-22 00:54:01,3600.07,536,/A/
940,2022-10-05 11:00:52,3374.61,155,savings
A208,2022-10-13 06:26:47,5299.87,A140,8606739834
A278,2022-06-29 01:21:51,8910.07,A258,3842536462
A170,2022-08-17 08:24:17,5402.38,A172,0774065795
A187,2022-09-25 03:46:47,3525.04,A204,2392090855
505,2022-08-08 12:06:15,1072.29,644,fries
A15,2023-09-23 18:53:07,3095.42,682,/C/
239,2024-03-15 14:26:56,1018.07,102,rent
473,2022-09-18 10:31:08,9967.82,797,payback
97,2022-07-14 18:11:40,9414.1,615,fries
A169,2023-08-18 18:20:33,191.95,824,/B/
A228,2024-05-24 04:52:31,7041.89,698,/B/
719,2023-10-03 11:44:51,540.78,181,beers
415,2022-10-07 03:33:47,6338.83,734,payback
239,2024-06-16 02:32:40,3710.12,322,bonus
A43,2022-12-13 15:31:32,6986.63,A350,2012275950
A214,2023-08-21 05:20:01,106.75,A389,0151532594
A317,2023-11-18 09:35:15,4402.11,A174,0740717327
A26,2023-03-07 19:52:20,5950.01,953,/B/
A303,2023-06-13 11:16:07,7083.26,690,/B/
A119,2023-02-23 02:31:52,6439.49,A342,1006493403
A297,2023-02-26 12:39:16,6900.6,121,/A/
A65,2023-03-19 01:40:18,2775.06,960,/A/
438,2024-04-24 06:29:06,8782.99,46,payback
995,2023-07-17 02:00:19,6116.14,778,bonus
A278,2023-02-07 23:03:38,645.03,307,/C/
A49,2022-10-04 06:51:35,6134.7,978,/A/
A173,2023-03-07 03:48:00,9904.87,901,/C/
178,2024-04-20 00:07:46,6166.38,982,payback
778,2024-04-30 08:17:56,3592.38,768,beers
A352,2023-01-10 03:24:18,9093.12,A291,5205610067
591,2023-07-29 17:35:23,5694.38,13,fries
A293,2024-05-31 23:40:56,193.2,438,/C/
A280,2022-12-30 05:12:34,588.84,A199,7740378423
583,2023-03-23 10:20:13,6622.46,868,bonus
715,2022-11-09 11:01:01,3068.26,986,bonus
A11,2023-03-07 05:17:21,8619.02,2,/B/
A194,2024-05-13 02:31:39,4908.27,776,/A/
A5,2023-09-24 14:47:58,3342.41,223,/A/
A6,2023-05-09 22:18:56,6329.2,A38,7365426241
260,2024-04-05 12:30:02,4594.33,188,payback
A96,2022-08-29 15:38:53,612.42,677,/C/
A77,2024-03-10 01:43:33,7024.86,224,/A/
876,2022-12-04 08:30:49,3077.84,97,rent
A17,2022-12-03 00:34:44,153.32,585,/A/
A216,2023-09-09 22:05:59,6431.87,859,/C/
A126,2024-03-26 22:02:42,464.9,5,/C/
553,2023-12-17 01:19:22,7643.29,569,savings
A125,2022-10-20 17:01:18,5104.86,14,/A/
A60,2023-07-23 16:44:45,8864.1,90,/B/
A113,2023-07-09 18:15:46,3926.43,A70,9045759887
579,2022-10-12 02:11:10,3233.45,881,beers
A304,2022-11-10 20:01:02,878.18,754,/C/
A160,2022-09-12 01:58:56,7710.89,171,/B/
A124,2022-07-04 10:28:15,465.22,429,/C/
A92,2023-06-20 10:16:38,8041.26,816,/A/
A73,2024-02-26 16:17:31,8847.56,468,/B/
A96,2023-06-03 21:39:33,3537.88,A40,4770920711
A83,2022-08-03 05:12:17,8011.73,A116,8023621921
A269,2023-06-05 19:32:21,3526.36,804,/A/
A251,2023-10-24 14:41:16,5223.02,740,/A/
A290,2023-03-31 01:26:51,6864.27,A49,6118638558
A374,2024-06-04 01:07:36,5506.46,A302,5977216880
A385,2023-12-20 05:29:27,7088.59,A396,5378931869
A261,2022-11-02 11:57:52,9426.11,930,/C/
176,2024-02-26 14:13:00,4796.44,822,payback
A160,2023-09-19 14:56:42,2761.83,887,/A/
A264,2023-09-27 21:21:17,6573.91,141,/A/
A245,2022-08-14 23:05:37,7224.1,166,/A/
A283,2022-12-10 07:25:49,540.69,218,/C/
A66,2024-01-19 02:08:03,2946.16,A321,3220414474
A375,2023-03-29 23:18:13,6548.68,134,/C/
A383,2024-03-26 20:55:53,8602.68,A57,1659930202
A107,2022-06-23 23:42:43,362.12,51,/B/
A357,2023-09-10 04:54:21,9371.11,152,/A/
A67,2024-02-08 09:00:06,8523.9,734,/B/
A66,2023-03-26 07:51:13,4980.77,A357,1353028165
416,2024-03-10 11:50:57,8863.47,259,savings
698,2023-11-06 16:40:05,1971.22,844,rent
A305,2023-10-30 03:44:35,3445.0,A119,7775691983
72,2023-04-12 10:26:58,1321.06,700,rent
A307,2023-01-12 01:50:11,6517.96,91,/B/
A352,2022-08-11 15:49:42,6826.68,760,/A/
A194,2023-01-04 16:47:53,4697.29,885,/C/
A82,2024-02-21 22:30:25,409.73,596,/C/
223,2022-08-21 20:38:34,9557.91,122,rent
A380,2023-03-09 13:27:44,2637.44,554,/B/
A199,2023-02-11 09:29:10,669.74,401,/A/
A42,2023-04-22 21:46:15,1509.21,820,/A/
429,2023-02-03 18:05:52,9388.92,498,rent
A188,2023-05-20 08:19:45,5011.37,415,/C/
992,2023-02-26 06:05:24,8848.1,861,savings
